1,"1,2-propanediol","v/v",76.11,1.0361,,,,
2,"1,4-butanediol","v/v",90.12,1.0171,,,,
3,"1,6-hexanediol","M",118.18,,,,,
4,"2-ethoxyethanol","v/v",90.12,0.9297,,,,
5,"2-methyl-2,4-pentanediol","v/v",188.18,0.9254,,,,
6,"2-propanol","v/v",60.11,0.7855,,,,
7,"ADA","M",190.2,,19,6.6,,
8,"ammonium acetate","M",77.08,,148,4.76,,
9,"ammonium chloride","M",53.49,,29.7,,,
10,"ammonium dihydrogen phosphate","M",115.03,,36,2.1,7.2,12.3
11,"ammonium fluoride","M",37.04,,100,,,
13,"ammonium iodide","M",144.94,,154.2,,,
14,"ammonium nitrate","M",80.04,,118.3,,,
15,"ammonium sulfate","M",132.14,,55.5,,,
16,"barium chloride","M",208.25,,37.5,,,
17,"bicine","M",163.2,,18,8.35,,
18,"cadmium chloride","M",183.32,,140,,,
19,"cadmium sulfate","M",208.46,,75.5,,,
20,"calcium acetate","M",158.17,,37.4,4.76,,
21,"calcium chloride","M",110.98,,74.5,,,
22,"CAPS","M",221.3,,22,10.4,,
24,"CHES","M",207.3,,23.6,9.3,,
25,"citric acid","M",192.1,,59,3.1,4.8,5.4
26,"cobalt chloride","M",129.84,,45,,,
27,"diammonium hydrogen citrate","M",226.19,,100,3.1,4.8,5.4
28,"diammonium hydrogen phosphate","M",132.05,,57.5,2.1,7.2,12.3
30,"dioxane","v/v",88.12,1.034,,,,
31,"dipotassium hydrogen phosphate","M",174.18,,167,2.1,7.2,12.3
32,"disodium hydrogen phosphate","M",141.95,,79.8,2.1,7.2,12.3
34,"ethanol","v/v",46.07,0.7893,,,,
35,"ethylene glycol","v/v",62.02,1.109,,,,
36,"ethylene imine polymer","w/v",800000,,,,,
37,"iron(III) chloride","M",162.2,,55.2,,,
38,"glycerol","v/v",92.09,1.26,,,,
39,"HEPES","M",238.31,,40,7.5,,
40,"CTAB","M",364.45,,3.6,,,
41,"imidazole","M",68.08,,63.3,7.05,,
42,"jeffamine M-600","v/v",600,0.98,50,,,
43,"lithium acetate","M",66.06,,40.8,,,
44,"lithium chloride","M",42.39,,63.7,,,
46,"lithium nitrate","M",68.95,,89.9,,,
47,"lithium sulfate","M",109.94,,26.1,,,
48,"magnesium acetate","M",142.4,,15,4.76,,
49,"magnesium chloride","M",95.22,,54.3,,,
50,"magnesium formate","M",114.34,,14,3.75,,
51,"magnesium nitrate","M",148.31,,72.3,,,
54,"methanol","v/v",32.04,0.79,,,,
56,"nickel(II) chloride","M",129.62,,64.2,,,
57,"phosphate-citrate","M",,,,,,
58,"polyethylene glycol 1000","w/v",1000,,,,,
60,"polyethylene glycol 1500","w/v",1500,,,,,
61,"polyethylene glycol 200","v/v",200,1.124,,,,
62,"polyethylene glycol 20000","w/v",20000,,,,,
63,"polyethylene glycol 300","v/v",300,1.125,,,,
64,"polyethylene glycol 3000","w/v",3000,,,,,
65,"polyethylene glycol 3350","w/v",3350,,,,,
66,"polyethylene glycol 400","v/v",400,1.126,,,,
67,"polyethylene glycol 4000","w/v",4000,,,,,
68,"polyethylene glycol 600","w/v",600,1.12,,,,
69,"polyethylene glycol 6000","w/v",6000,,,,,
72,"polyethylene glycol monomethyl ether 5000","w/v",5000,,,,,
73,"polyethylene glycol monomethyl ether 550","v/v",550,1.094,,,,
74,"potassium acetate","M",98.15,,253,4.76,,
75,"potassium chloride","M",74.56,,34.7,,,
76,"tripotassium citrate","M",306.4,,140.7,3.06,4.74,5.4
77,"potassium dihydrogen phosphate","M",136.09,,33,2.1,7.2,12.3
78,"potassium fluoride","M",58.1,,92.3,,,
79,"potassium formate","M",84.12,,331,3.75,,
81,"potassium nitrate","M",101.11,,38.8,,,
82,"potassium sodium tartrate","M",210.16,,47.4,3.02,4.54,
83,"potassium sulfate","M",174.27,,12,,,
84,"potassium thiocyanate","M",97.18,,177.2,,,
85,"sodium acetate","M",82.03,,46.5,4.76,,
86,"sodium cacodylate","M",159.98,,148.6,6.27,,
87,"sodium chloride","M",58.44,,35.7,,,
88,"sodium citrate","M",258.06,,63,3.06,4.74,5.4
90,"sodium fluoride","M",41.99,,4.22,,,
91,"sodium formate","M",68.01,,97.02,3.75,,
92,"sodium HEPES","M",260.3,,26.1,7.55,,
93,"sodium iodide","M",149.89,,184,,,
94,"sodium MES","M",217.2,,11,6.1,,
95,"sodium nitrate","M",84.99,,92.1,,,
96,"sodium sulfate","M",142.04,,21,,,
97,"sodium thiocyanate","M",81.07,,139.3,,,
98,"spermine tetrahydrochloride","M",348.18,,10,,,
99,"strontium chloride","M",158.53,,53.8,,,
101,"tris chloride","M",157.6,,67,8.1,,
102,"zinc acetate","M",183.48,,43,4.76,,
104,"zinc sulfate","M",161.43,,54.2,,,
105,"adenosine triphosphate","M",551.14,,,,,
107,"hexammine cobalt(III) chloride","M",267.5,,2,,,
111,"bis-tris","M",209.2,,50,6.46,,
112,"triammonium citrate","M",243.33,,61,3.06,4.74,5.4
113,"succinic acid","M",118.1,,15,4.19,5.57,
116,"tacsimate","v/v",,,,,,
117,"jeffamine ED-2001","w/v",2000,,,,,
118,"pentaerythritol propoxylate (5/4 PO/OH)","w/v",426,,,,,
119,"pentaerythritol ethoxylate (15/4 EO/OH)","w/v",797,,,,,
120,"polypropylene glycol P400","v/v",400,1.009,101,,,
121,"polyacrylic acid 5100 sodium salt","w/v",,,,,,
122,"polyvinylpyrrolidone K15","w/v",10000,,,,,
123,"proline","M",115.13,,162,1.99,10.6,
125,"potassium bromide","M",119,,53.5,,,
126,"dithiothreitol","M",154.25,,15.4,,,
127,"EDTA","M",292.2,,15,,,
128,"leupeptin","M",475.6,,0.1,,,
129,"benzamidine hydrochloride","M",156.61,,5,,,
130,"Al's oil","v/v",,0.78,,,,
131,"glycine","M",75.07,,10,2.34,9.6,
132,"hydrochloric acid","M",36.46,,40,,,
133,"pentaerythritol propoxylate (17/8 PO/OH)","w/v",629,,,,,
136,"beta-mercaptoethanol","M",78.13,1.11,,,,
137,"n-octyl-b-D-Glucopyranoside","M",292.37,,,,,
138,"nicotinamide adenine dinucleotide","w/v",663.44,,1,,,
139,"bis-tris propane","M",282.33,,45,6.8,9,
140,"sodium PIPES","M",346.33,,50,6.8,,
141,"dimethyl sulfoxide","v/v",78.13,1.1,,,,
142,"MOPS","M",209.26,,21,7.2,,
143,"adenosine diphosphate","M",471.16,,,,,
144,"acetone","v/v",58.08,0.791,,,,
147,"polyethylene glycol 1450","w/v",1450,,50,,,
148,"sodium succinate","M",162.05,,34.8,4.21,5.61,
149,"sucrose","M",342.3,,67,,,
150,"tris acetate","M",181.19,,,8.1,,
151,"guanidine hydrochloride","M",95.53,,215,,,
152,"guanosine monophosphate","M",407.18,,20,,,
153,"glutathione, reduced","M",307.32,,,,,
154,"polyethylene glycol monomethyl ether 350","v/v",350,1.088,,,,
155,"triethanolamine","M",149.19,1.12,112,7.85,,
156,"boric acid","M",61.83,,6.35,9.14,12.74,13.8
157,"copper(I) chloride","M",99,,0.62,,,
158,"copper(II) chloride","M",134.45,,76,,,
159,"nicotinamide adenine dinucleotide phosphate","M",765.39,,5,,,
160,"sodium bromide","M",102.89,,73.3,,,
161,"sodium dithionite","M",174.1,,23,,,
162,"1,2,3-heptanetriol","M",148.2,,15,,,
163,"BES","M",213.25,,22,7.1,,
164,"flavin adenine dinucleotide","M",829.52,,0.1,,,
165,"hexadecyltrimethylammonium chloride","M",319.75,,50,,,
166,"2,5-hexanediol","v/v",118.17,0.961,96.1,,,
167,"ammonium sulfite","M",116.14,,39,,,
168,"sodium dihydrogen-dipotassium hydrogen phosphate","M",,,,2.1,7.2,12.3
169,"staurosporine","M",466.5,,0.5,,,
170,"manganese(II) chloride","M",124.84,,151,,,
171,"yttrium chloride","M",195.26,,217,,,
172,"trimethylamine hydrochloride","M",95.57,,,,,
173,"urea","M",60.06,,30,,,
174,"dextran sulfate","w/v",5000,,30,,,
175,"1,3-butanediol","v/v",90.12,1.005,,,,
176,"1,3-propanediol","v/v",76.09,1.053,,,,
177,"acetonitrile","v/v",41.05,0.786,,,,
178,"gamma butyrolactone","v/v",86.09,1.12,,,,
179,"1-propanol","v/v",60.1,0.804,,,,
180,"ethyl acetate","v/v",88.11,0.902,,,,
181,"dichloromethane","v/v",84.93,1.325,,,,
183,"2,2,2-trifluoroethanol","v/v",100.4,1.373,,,,
184,"cysteine","M",121.16,,28,,,
185,"disodium EDTA","M",336.21,,168,,,
186,"glucose","M",180.16,,91,,,
187,"xylitol","M",152.15,,63,,,
188,"spermidine","M",145.25,0.925,15,,,
189,"6-aminocaproic acid","M",131.17,,50.5,,,
191,"1,6-diaminohexane","v/v",116.2,0.929,,,,
192,"1,8-diaminooctane","w/v",144.26,,57.5,,,
193,"gly-gly-gly","M",189.17,,,,,
195,"betaine","M",117.15,,64,1.84,,
198,"phenol","M",94.11,,8,10,,
199,"arginine","M",174.2,,14.8,2.18,9.09,11.15
200,"rubidium bromide","M",165.37,,,,,
201,"2,3-butanediol","v/v",90.12,0.995,,,,
203,"tricine","M",179.17,,18,8.15,,
204,"sodium dihydrogen phosphate-disodium hydrogen phosphate","M",,,,2.1,7.2,12.3
205,"dipotassium hydrogen-potassium dihydrogen phosphate","M",,,,2.1,7.2,12.3
206,"triethylene glycol","v/v",150.17,1.125,,,,
207,"diethylene glycol","v/v",106.12,1.12,,,,
208,"guanosine triphosphate","M",567.1,,,,,
209,"succinate-phosphate-glycine","v/v",,,,,,
210,"citrate-HEPES-CHES","v/v",,,,,,
211,"malonate-imidazole-borate","v/v",,,,,,
212,"propionate-cacodylate-bis tris propane","v/v",,,,,,
213,"acetate-ADA-bicine","v/v",,,,,,
215,"tartrate-bis tris-glygly","v/v",,,,,,
216,"disodium hydrogen-potassium dihydrogen phosphate","M",,,,2.1,7.2,12.3
